omega,true_delta,estimated_delta
5.711943719065356,-0.0011424567471272629,-0.047564198997673834
5.859211782756385,-0.0009267767624409062,-0.06149490559628268
6.010276782070385,-0.0007493681045763201,0.07800236735850097
6.165236611416796,-0.0006039528703891683,0.025748032738090176
6.324191689165526,-0.0004851786713892525,-0.08130679263292051
6.487245022720907,-0.00038850278141899786,-0.13348194224725835
6.654502275273402,-0.0003100867865458157,0.014352290631599596
6.82607183427239,-0.0002467015847429366,0.0030092582203407603
7.002064881664263,-0.0001956423894751147,-0.09274543273580071
7.182595465941518,-0.00015465324603136654,-0.14310476480112272
7.367780576049409,-0.00012186046646828208,0.1079813026126698
7.557740217198103,-9.571432236615829e-05,0.0571017394047979
7.75259748862946,-7.493829840346522e-05,-0.049696481307274554
7.952478663388878,-5.84851984717083e-05,0.05405612233702503
8.157513270153721,-4.5499404580234826e-05,-0.1117223468756249
8.367834177171693,-3.5284612524666414e-05,0.11034345904996103
8.58357767836315,-2.7276403186171638e-05,-0.003080015176034706
8.80488358164347,-2.1019050902015834e-05,0.0016780242951394408
9.031895299522539,-1.6146017697199477e-05,-0.07656967182793226
9.264759942040142,-1.2363631890444093e-05,0.012010363940975266
9.50362841209742,-9.437499787517956e-06,-0.0347434090819691
9.748655503246294,-7.18124837856271e-06,0.04396830047558084
10.000000000000005,-5.447244066092427e-06,-0.012654602175322383
