log10_omega,regime,delta
-1.4074074074074074,8,-0.07916727588655949
-1.2592592592592593,8,-0.06179951945549898
-1.1111111111111112,8,-0.044147652504110776
-0.962962962962963,8,-0.028998463298581155
-0.8148148148148149,8,-0.01874323404606995
-0.6666666666666667,8,-0.014997958001101062
-0.5185185185185186,8,-0.018335837348211932
-0.37037037037037046,8,-0.02814082315492776
-0.2222222222222223,8,-0.04249905947829581
-0.07407407407407418,8,-0.05789811917856138
0.07407407407407397,8,-0.0684270138334803
0.22222222222222235,8,-0.06457105620762368
0.3703703703703703,8,-0.033019457553986366
0.5185185185185182,8,0.039538327357561465
0.6666666666666665,8,0.15670133972412825
0.8148148148148149,8,0.3009447246498894
0.9629629629629628,8,0.43186448160607815
1.1111111111111107,8,0.5027298085654142
1.259259259259259,8,0.48775831300133915
1.4074074074074074,8,0.3983295132236111
1.5555555555555554,8,0.273622486529029
1.7037037037037033,8,0.15468221211399835
1.8518518518518516,8,0.06413574156907331
2.0,8,0.0038328270473442505
-2.0,9,-0.10494553845617358
-1.8518518518518519,9,-0.10225947103435798
-1.7037037037037037,9,-0.09290156233770874
-1.5555555555555556,9,-0.07834922038763767
-1.4074074074074074,9,-0.06089994000022066
-1.2592592592592593,9,-0.043308578857604925
-1.1111111111111112,9,-0.028352425831197542
-0.962962962962963,9,-0.01839272527596661
-0.8148148148148149,9,-0.01500185788029592
-0.6666666666666667,9,-0.018714824922633648
-0.5185185185185186,9,-0.028942793766417306
-0.37037037037037046,9,-0.044054085623713185
-0.2222222222222223,9,-0.06157309669171362
-0.07407407407407418,9,-0.0783400703077033
0.07407407407407397,9,-0.09029434589753713
0.22222222222222235,9,-0.09144060002691815
0.3703703703703703,9,-0.07209816553595474
0.5185185185185182,9,-0.018388328873350346
0.6666666666666665,9,0.08290995930669612
0.8148148148148149,9,0.23174879972534002
0.9629629629629628,9,0.40110319882801543
1.1111111111111107,9,0.5380969995555749
1.259259259259259,9,0.589276899140321
1.4074074074074074,9,0.5350176307333259
1.5555555555555554,9,0.4027225971341554
1.7037037037037033,9,0.2461726029947215
1.8518518518518516,9,0.11115986421056046
2.0,9,0.01645857709289829
-2.0,10,-0.10194175886852519
-1.8518518518518519,10,-0.09228102409047852
-1.7037037037037037,10,-0.07752382540388927
-1.5555555555555556,10,-0.059999999999999644
-1.4074074074074074,10,-0.04247617459609905
-1.2592592592592593,10,-0.02771897590920073
-1.1111111111111112,10,-0.018058241124139063
-0.962962962962963,10,-0.015019187723401155
-0.8148148148148149,10,-0.019081613576132334
-0.6666666666666667,10,-0.029604127586948
-0.5185185185185186,10,-0.044925210953913386
-0.37037037037037046,10,-0.06262388275870288
-0.2222222222222223,10,-0.07989087475973226
-0.07407407407407418,10,-0.09391279122870683
0.07407407407407397,10,-0.10206328139804155
0.22222222222222235,10,-0.10148140474440792
0.3703703703703703,10,-0.08746731218431748
0.5185185185185182,10,-0.05082200048723998
0.6666666666666665,10,0.023170101291104223
0.8148148148148149,10,0.1483750427567194
0.9629629629629628,10,0.3211627242694611
1.1111111111111107,10,0.503925507430351
1.259259259259259,10,0.6309599647909492
1.4074074074074074,10,0.6453837547385048
1.5555555555555554,10,0.5403003633698555
1.7037037037037033,10,0.36414198139628356
1.8518518518518516,10,0.18462975784317437
2.0,10,0.04737733441995105
-2.0,11,-0.09164757386401846
-1.8518518518518519,11,-0.07669142112358421
-1.7037037037037037,11,-0.059100059998800025
-1.5555555555555556,11,-0.04165077961231935
-1.4074074074074074,11,-0.02709843766228963
-1.2592592592592593,11,-0.017740528965639477
-1.1111111111111112,11,-0.015054461543741675
-0.962962962962963,11,-0.019464306379107663
-0.8148148148148149,11,-0.030273845887859287
